company_id,year,cfo_sign,cfi_sign,cff_sign,pattern_label
ABB,2012,+,-,-,Reinvestor
ABB,2014,+,-,-,Reinvestor
ABB,2015,+,-,-,Reinvestor
ABB,2016,+,-,-,Reinvestor
ABB,2017,+,-,-,Shareholder Returns
ABB,2018,+,-,-,Reinvestor
ABB,2019,+,-,-,Shareholder Returns
ABB,2020,+,-,-,Shareholder Returns
ABB,2021,+,-,-,Shareholder Returns
ABB,2022,+,-,-,Shareholder Returns
ABB,2023,+,-,-,Reinvestor
ABB,2024,+,-,-,Shareholder Returns
ADANIENSOL,2014,-,-,-,Pre-Revenue
ADANIENSOL,2015,-,-,+,Growth Funded by Debt
ADANIENSOL,2016,+,-,-,Shareholder Returns
ADANIENSOL,2017,+,-,-,Shareholder Returns
ADANIENSOL,2018,+,-,+,Mixed
ADANIENSOL,2019,+,-,+,Mixed
ADANIENSOL,2020,+,-,+,Mixed
ADANIENSOL,2021,+,-,-,Shareholder Returns
ADANIENSOL,2022,+,-,-,Shareholder Returns
ADANIENSOL,2023,+,-,+,Mixed
ADANIENSOL,2024,+,-,-,Shareholder Returns
ADANIENT,2013,+,-,+,Mixed
ADANIENT,2014,+,-,-,Shareholder Returns
ADANIENT,2015,+,-,+,Mixed
ADANIENT,2016,+,-,-,Shareholder Returns
ADANIENT,2017,+,-,+,Mixed
ADANIENT,2018,+,-,+,Mixed
ADANIENT,2019,+,+,-,Liquidating Assets
ADANIENT,2020,+,-,-,Shareholder Returns
ADANIENT,2021,+,-,+,Mixed
ADANIENT,2022,+,-,+,Mixed
ADANIENT,2023,+,-,-,Shareholder Returns
ADANIENT,2024,+,-,+,Mixed
ADANIGREEN,2017,+,-,+,Mixed
ADANIGREEN,2018,+,-,+,Mixed
ADANIGREEN,2019,+,-,+,Mixed
ADANIGREEN,2020,+,-,+,Mixed
ADANIGREEN,2021,+,-,+,Mixed
ADANIGREEN,2022,+,-,+,Mixed
ADANIGREEN,2023,+,-,-,Shareholder Returns
ADANIGREEN,2024,+,-,+,Mixed
ADANIPORTS,2013,+,-,+,Mixed
ADANIPORTS,2014,+,-,+,Mixed
ADANIPORTS,2015,+,-,-,Shareholder Returns
ADANIPORTS,2016,+,-,+,Mixed
ADANIPORTS,2017,+,-,-,Shareholder Returns
ADANIPORTS,2018,+,-,-,Shareholder Returns
ADANIPORTS,2019,+,-,+,Mixed
ADANIPORTS,2020,+,-,-,Shareholder Returns
ADANIPORTS,2021,+,-,+,Mixed
ADANIPORTS,2022,+,-,-,Shareholder Returns
ADANIPORTS,2023,+,-,-,Shareholder Returns
ADANIPORTS,2024,+,-,-,Shareholder Returns
ADANIPOWER,2013,+,-,+,Mixed
ADANIPOWER,2014,+,-,+,Mixed
ADANIPOWER,2015,+,-,-,Reinvestor
ADANIPOWER,2016,+,-,-,Shareholder Returns
ADANIPOWER,2017,+,-,-,Reinvestor
ADANIPOWER,2018,+,-,-,Reinvestor
ADANIPOWER,2019,+,-,-,Reinvestor
ADANIPOWER,2020,+,-,-,Reinvestor
ADANIPOWER,2021,+,-,-,Shareholder Returns
ADANIPOWER,2022,+,+,-,Liquidating Assets
ADANIPOWER,2023,+,+,-,Liquidating Assets
ADANIPOWER,2024,+,+,-,Liquidating Assets
AMBUJACEM,2012,+,-,-,Shareholder Returns
AMBUJACEM,2013,+,-,-,Reinvestor
AMBUJACEM,2014,+,-,-,Shareholder Returns
AMBUJACEM,2015,+,-,-,Shareholder Returns
AMBUJACEM,2016,+,-,-,Shareholder Returns
AMBUJACEM,2017,+,-,-,Shareholder Returns
AMBUJACEM,2018,+,-,-,Reinvestor
AMBUJACEM,2019,+,-,-,Shareholder Returns
AMBUJACEM,2020,+,-,-,Shareholder Returns
AMBUJACEM,2021,+,-,-,Shareholder Returns
AMBUJACEM,2023,+,-,+,Mixed
AMBUJACEM,2024,+,-,+,Mixed
APOLLOHOSP,2013,+,-,+,Mixed
APOLLOHOSP,2014,+,-,-,Shareholder Returns
APOLLOHOSP,2015,+,-,+,Mixed
APOLLOHOSP,2016,+,-,+,Mixed
APOLLOHOSP,2017,+,-,+,Mixed
APOLLOHOSP,2018,+,-,-,Shareholder Returns
APOLLOHOSP,2019,+,-,-,Shareholder Returns
APOLLOHOSP,2020,+,-,-,Shareholder Returns
APOLLOHOSP,2021,+,-,-,Shareholder Returns
APOLLOHOSP,2022,+,-,-,Shareholder Returns
APOLLOHOSP,2023,+,-,-,Shareholder Returns
APOLLOHOSP,2024,+,-,-,Shareholder Returns
ASIANPAINT,2013,+,-,-,Shareholder Returns
ASIANPAINT,2014,+,-,-,Shareholder Returns
ASIANPAINT,2015,+,-,-,Reinvestor
ASIANPAINT,2016,+,-,-,Shareholder Returns
ASIANPAINT,2017,+,-,-,Reinvestor
ASIANPAINT,2018,+,-,-,Shareholder Returns
ASIANPAINT,2019,+,-,-,Shareholder Returns
ASIANPAINT,2020,+,-,-,Shareholder Returns
ASIANPAINT,2021,+,-,-,Shareholder Returns
ASIANPAINT,2022,+,-,-,Reinvestor
ASIANPAINT,2023,+,-,-,Reinvestor
ASIANPAINT,2024,+,-,-,Shareholder Returns
ATGL,2018,-,-,-,Pre-Revenue
ATGL,2019,-,-,-,Pre-Revenue
ATGL,2020,-,-,-,Pre-Revenue
ATGL,2021,-,-,-,Pre-Revenue
ATGL,2022,-,-,-,Pre-Revenue
ATGL,2023,-,-,-,Pre-Revenue
ATGL,2024,-,-,-,Pre-Revenue
AXISBANK,2013,+,-,+,Mixed
AXISBANK,2014,+,-,+,Mixed
AXISBANK,2015,-,-,+,Growth Funded by Debt
AXISBANK,2016,-,+,+,Distress Signal
AXISBANK,2017,+,-,-,Shareholder Returns
AXISBANK,2018,-,-,+,Growth Funded by Debt
AXISBANK,2019,+,-,+,Mixed
AXISBANK,2020,+,-,+,Mixed
AXISBANK,2021,+,-,+,Mixed
AXISBANK,2022,+,-,+,Mixed
AXISBANK,2023,+,-,+,Mixed
AXISBANK,2024,-,-,+,Growth Funded by Debt
BAJAJ-AUTO,2013,+,-,-,Reinvestor
BAJAJ-AUTO,2014,+,-,-,Shareholder Returns
BAJAJ-AUTO,2015,+,-,-,Reinvestor
BAJAJ-AUTO,2016,+,-,-,Reinvestor
BAJAJ-AUTO,2017,+,-,-,Reinvestor
BAJAJ-AUTO,2018,+,-,-,Shareholder Returns
BAJAJ-AUTO,2019,+,-,-,Reinvestor
BAJAJ-AUTO,2020,+,+,-,Liquidating Assets
BAJAJ-AUTO,2021,+,-,-,Reinvestor
BAJAJ-AUTO,2022,+,+,-,Liquidating Assets
BAJAJ-AUTO,2023,+,+,-,Liquidating Assets
BAJAJ-AUTO,2024,+,-,-,Reinvestor
BAJAJFINSV,2013,-,+,+,Distress Signal
BAJAJFINSV,2014,-,+,+,Distress Signal
BAJAJFINSV,2015,-,+,+,Distress Signal
BAJAJFINSV,2016,-,-,+,Growth Funded by Debt
BAJAJFINSV,2017,-,+,+,Distress Signal
BAJAJFINSV,2018,-,-,+,Growth Funded by Debt
BAJAJFINSV,2019,-,-,+,Growth Funded by Debt
BAJAJFINSV,2020,-,-,+,Growth Funded by Debt
BAJAJFINSV,2021,+,-,+,Mixed
BAJAJFINSV,2022,-,+,+,Distress Signal
BAJAJFINSV,2023,-,-,+,Growth Funded by Debt
BAJAJFINSV,2024,-,-,+,Growth Funded by Debt
BAJAJHLDNG,2013,+,-,-,Reinvestor
BAJAJHLDNG,2014,+,-,-,Reinvestor
BAJAJHLDNG,2015,+,-,-,Reinvestor
BAJAJHLDNG,2016,+,+,-,Liquidating Assets
BAJAJHLDNG,2017,-,-,-,Pre-Revenue
BAJAJHLDNG,2018,+,-,-,Reinvestor
