company_id,metric_type,period_years,value_pct
HDFCBANK,compounded_sales_growth,10,21.0
HDFCBANK,compounded_profit_growth,10,22.0
HDFCBANK,stock_price_cagr,10,15.0
HDFCBANK,roe,10,17.0
SBILIFE,compounded_sales_growth,5,24.0
SBILIFE,compounded_profit_growth,5,6.0
SBILIFE,stock_price_cagr,5,8.0
SBILIFE,roe,5,14.0
TCS,compounded_sales_growth,10,11.0
TCS,compounded_profit_growth,10,9.0
TCS,stock_price_cagr,10,14.0
TCS,roe,10,40.0
INFY,compounded_sales_growth,10,12.0
INFY,compounded_profit_growth,10,9.0
INFY,stock_price_cagr,10,15.0
INFY,roe,10,27.0
