table,rows_in,rows_out,rejected,timestamp,runtime_s
companies,92,92,0,2026-08-26T05:48:05.377506+00:00,8.904
profitandloss,1276,1073,203,2026-08-26T05:48:05.377506+00:00,8.904
balancesheet,1312,1058,254,2026-08-26T05:48:05.377506+00:00,8.904
cashflow,1187,1056,131,2026-08-26T05:48:05.377506+00:00,8.904
analysis,20,4,16,2026-08-26T05:48:05.377506+00:00,8.904
documents,1585,1457,128,2026-08-26T05:48:05.377506+00:00,8.904
prosandcons,16,4,12,2026-08-26T05:48:05.377506+00:00,8.904
sectors,91,92,0,2026-08-26T05:48:05.377506+00:00,8.904
stock_prices,5519,5520,0,2026-08-26T05:48:05.377506+00:00,8.904
financial_ratios,1183,1041,142,2026-08-26T05:48:05.377506+00:00,8.904
