metric,mean,std,p10,p25,p50_median,p75,p90,count
return_on_equity_pct,122.72,633.73,8.39,11.73,16.27,25.93,47.97,92
roce_pct,195.55,836.16,4.32,11.38,20.54,36.16,118.21,91
net_profit_margin_pct,20.02,45.18,4.62,7.25,14.21,20.35,29.25,92
operating_profit_margin_pct,34.73,27.37,9.87,16.05,26.01,40.55,84.01,92
debt_to_equity,1.65,2.85,0.0,0.05,0.43,1.57,6.44,92
interest_coverage,124.76,483.44,1.6,3.04,11.3,57.97,190.5,92
revenue_cagr_5yr,13.0,7.36,5.9,8.46,12.03,17.28,21.08,92
pat_cagr_5yr,21.11,21.55,4.36,9.86,16.28,23.78,39.28,84
eps_cagr_5yr,19.0,20.2,3.56,9.18,14.87,22.05,31.64,83
composite_quality_score,52.71,20.66,22.96,34.76,51.45,69.98,78.22,92
