company_id,year,computed_roce_pct,sector_median_roce,sector_p25_roce,sector_p75_roce,above_median,note
AXISBANK,2013,2.5251,5.6881,3.2688,22.5971,No,Financials sector-relative benchmark (D/E high-leverage flag suppressed)
BAJAJFINSV,2013,18.915,5.6881,3.2688,22.5971,Yes,Financials sector-relative benchmark (D/E high-leverage flag suppressed)
BAJAJHLDNG,2013,3.1416,5.6881,3.2688,22.5971,No,Financials sector-relative benchmark (D/E high-leverage flag suppressed)
BANKBARODA,2013,2.0191,5.6881,3.2688,22.5971,No,Financials sector-relative benchmark (D/E high-leverage flag suppressed)
CANBK,2013,1.7993,5.6881,3.2688,22.5971,No,Financials sector-relative benchmark (D/E high-leverage flag suppressed)
CHOLAFIN,2013,4.0996,5.6881,3.2688,22.5971,No,Financials sector-relative benchmark (D/E high-leverage flag suppressed)
HDFCBANK,2013,3.396,5.6881,3.2688,22.5971,No,Financials sector-relative benchmark (D/E high-leverage flag suppressed)
HDFCLIFE,2013,1012.6402,5.6881,3.2688,22.5971,Yes,Financials sector-relative benchmark (D/E high-leverage flag suppressed)
ICICIBANK,2013,5.6881,5.6881,3.2688,22.5971,Yes,Financials sector-relative benchmark (D/E high-leverage flag suppressed)
ICICIGI,2013,223.9037,5.6881,3.2688,22.5971,Yes,Financials sector-relative benchmark (D/E high-leverage flag suppressed)
ICICIPRULI,2013,486.8468,5.6881,3.2688,22.5971,Yes,Financials sector-relative benchmark (D/E high-leverage flag suppressed)
INDUSINDBK,2013,2.7399,5.6881,3.2688,22.5971,No,Financials sector-relative benchmark (D/E high-leverage flag suppressed)
IRFC,2013,8.4885,5.6881,3.2688,22.5971,Yes,Financials sector-relative benchmark (D/E high-leverage flag suppressed)
KOTAKBANK,2013,6.5319,5.6881,3.2688,22.5971,Yes,Financials sector-relative benchmark (D/E high-leverage flag suppressed)
PFC,2013,3.6769,5.6881,3.2688,22.5971,No,Financials sector-relative benchmark (D/E high-leverage flag suppressed)
PNB,2013,58.9361,5.6881,3.2688,22.5971,Yes,Financials sector-relative benchmark (D/E high-leverage flag suppressed)
RECLTD,2013,10.5945,5.6881,3.2688,22.5971,Yes,Financials sector-relative benchmark (D/E high-leverage flag suppressed)
SBILIFE,2013,26.2792,5.6881,3.2688,22.5971,Yes,Financials sector-relative benchmark (D/E high-leverage flag suppressed)
SHRIRAMFIN,2013,5.3678,5.6881,3.2688,22.5971,No,Financials sector-relative benchmark (D/E high-leverage flag suppressed)
AXISBANK,2014,2.5969,5.2989,3.2053,20.5353,No,Financials sector-relative benchmark (D/E high-leverage flag suppressed)
BAJAJFINSV,2014,15.5939,5.2989,3.2053,20.5353,Yes,Financials sector-relative benchmark (D/E high-leverage flag suppressed)
BAJAJHLDNG,2014,3.3753,5.2989,3.2053,20.5353,No,Financials sector-relative benchmark (D/E high-leverage flag suppressed)
BANKBARODA,2014,1.8404,5.2989,3.2053,20.5353,No,Financials sector-relative benchmark (D/E high-leverage flag suppressed)
CANBK,2014,2.0151,5.2989,3.2053,20.5353,No,Financials sector-relative benchmark (D/E high-leverage flag suppressed)
CHOLAFIN,2014,4.6656,5.2989,3.2053,20.5353,No,Financials sector-relative benchmark (D/E high-leverage flag suppressed)
HDFCBANK,2014,2.934,5.2989,3.2053,20.5353,No,Financials sector-relative benchmark (D/E high-leverage flag suppressed)
HDFCLIFE,2014,859.1805,5.2989,3.2053,20.5353,Yes,Financials sector-relative benchmark (D/E high-leverage flag suppressed)
ICICIBANK,2014,5.2989,5.2989,3.2053,20.5353,Yes,Financials sector-relative benchmark (D/E high-leverage flag suppressed)
ICICIGI,2014,191.0192,5.2989,3.2053,20.5353,Yes,Financials sector-relative benchmark (D/E high-leverage flag suppressed)
ICICIPRULI,2014,465.2293,5.2989,3.2053,20.5353,Yes,Financials sector-relative benchmark (D/E high-leverage flag suppressed)
INDUSINDBK,2014,3.0353,5.2989,3.2053,20.5353,No,Financials sector-relative benchmark (D/E high-leverage flag suppressed)
IRFC,2014,7.9751,5.2989,3.2053,20.5353,Yes,Financials sector-relative benchmark (D/E high-leverage flag suppressed)
KOTAKBANK,2014,6.7044,5.2989,3.2053,20.5353,Yes,Financials sector-relative benchmark (D/E high-leverage flag suppressed)
PFC,2014,4.086,5.2989,3.2053,20.5353,No,Financials sector-relative benchmark (D/E high-leverage flag suppressed)
PNB,2014,42.6553,5.2989,3.2053,20.5353,Yes,Financials sector-relative benchmark (D/E high-leverage flag suppressed)
RECLTD,2014,11.3325,5.2989,3.2053,20.5353,Yes,Financials sector-relative benchmark (D/E high-leverage flag suppressed)
SBILIFE,2014,25.4768,5.2989,3.2053,20.5353,Yes,Financials sector-relative benchmark (D/E high-leverage flag suppressed)
SHRIRAMFIN,2014,4.249,5.2989,3.2053,20.5353,No,Financials sector-relative benchmark (D/E high-leverage flag suppressed)
AXISBANK,2015,2.466,5.665,3.0129,17.0892,No,Financials sector-relative benchmark (D/E high-leverage flag suppressed)
BAJAJFINSV,2015,14.7563,5.665,3.0129,17.0892,Yes,Financials sector-relative benchmark (D/E high-leverage flag suppressed)
BAJAJHLDNG,2015,3.8752,5.665,3.0129,17.0892,No,Financials sector-relative benchmark (D/E high-leverage flag suppressed)
BAJFINANCE,2015,5.6493,5.665,3.0129,17.0892,No,Financials sector-relative benchmark (D/E high-leverage flag suppressed)
BANKBARODA,2015,1.9036,5.665,3.0129,17.0892,No,Financials sector-relative benchmark (D/E high-leverage flag suppressed)
CANBK,2015,1.9364,5.665,3.0129,17.0892,No,Financials sector-relative benchmark (D/E high-leverage flag suppressed)
CHOLAFIN,2015,4.7735,5.665,3.0129,17.0892,No,Financials sector-relative benchmark (D/E high-leverage flag suppressed)
HDFCBANK,2015,2.8238,5.665,3.0129,17.0892,No,Financials sector-relative benchmark (D/E high-leverage flag suppressed)
HDFCLIFE,2015,1036.7572,5.665,3.0129,17.0892,Yes,Financials sector-relative benchmark (D/E high-leverage flag suppressed)
ICICIBANK,2015,5.6806,5.665,3.0129,17.0892,Yes,Financials sector-relative benchmark (D/E high-leverage flag suppressed)
ICICIGI,2015,154.2273,5.665,3.0129,17.0892,Yes,Financials sector-relative benchmark (D/E high-leverage flag suppressed)
ICICIPRULI,2015,623.0389,5.665,3.0129,17.0892,Yes,Financials sector-relative benchmark (D/E high-leverage flag suppressed)
INDUSINDBK,2015,2.9754,5.665,3.0129,17.0892,No,Financials sector-relative benchmark (D/E high-leverage flag suppressed)
IRFC,2015,8.6377,5.665,3.0129,17.0892,Yes,Financials sector-relative benchmark (D/E high-leverage flag suppressed)
KOTAKBANK,2015,7.6677,5.665,3.0129,17.0892,Yes,Financials sector-relative benchmark (D/E high-leverage flag suppressed)
PFC,2015,3.8391,5.665,3.0129,17.0892,No,Financials sector-relative benchmark (D/E high-leverage flag suppressed)
PNB,2015,34.1916,5.665,3.0129,17.0892,Yes,Financials sector-relative benchmark (D/E high-leverage flag suppressed)
RECLTD,2015,11.0201,5.665,3.0129,17.0892,Yes,Financials sector-relative benchmark (D/E high-leverage flag suppressed)
SBILIFE,2015,24.0878,5.665,3.0129,17.0892,Yes,Financials sector-relative benchmark (D/E high-leverage flag suppressed)
SHRIRAMFIN,2015,3.0253,5.665,3.0129,17.0892,No,Financials sector-relative benchmark (D/E high-leverage flag suppressed)
AXISBANK,2016,2.5442,5.3842,3.2438,15.593,No,Financials sector-relative benchmark (D/E high-leverage flag suppressed)
BAJAJFINSV,2016,13.57,5.3842,3.2438,15.593,Yes,Financials sector-relative benchmark (D/E high-leverage flag suppressed)
BAJAJHLDNG,2016,2.851,5.3842,3.2438,15.593,No,Financials sector-relative benchmark (D/E high-leverage flag suppressed)
BAJFINANCE,2016,5.3563,5.3842,3.2438,15.593,No,Financials sector-relative benchmark (D/E high-leverage flag suppressed)
BANKBARODA,2016,3.8256,5.3842,3.2438,15.593,No,Financials sector-relative benchmark (D/E high-leverage flag suppressed)
CANBK,2016,3.2955,5.3842,3.2438,15.593,No,Financials sector-relative benchmark (D/E high-leverage flag suppressed)
CHOLAFIN,2016,4.9092,5.3842,3.2438,15.593,No,Financials sector-relative benchmark (D/E high-leverage flag suppressed)
HDFCBANK,2016,2.7724,5.3842,3.2438,15.593,No,Financials sector-relative benchmark (D/E high-leverage flag suppressed)
HDFCLIFE,2016,554.0445,5.3842,3.2438,15.593,Yes,Financials sector-relative benchmark (D/E high-leverage flag suppressed)
ICICIBANK,2016,6.8194,5.3842,3.2438,15.593,Yes,Financials sector-relative benchmark (D/E high-leverage flag suppressed)
ICICIGI,2016,163.1758,5.3842,3.2438,15.593,Yes,Financials sector-relative benchmark (D/E high-leverage flag suppressed)
ICICIPRULI,2016,299.386,5.3842,3.2438,15.593,Yes,Financials sector-relative benchmark (D/E high-leverage flag suppressed)
INDUSINDBK,2016,3.0886,5.3842,3.2438,15.593,No,Financials sector-relative benchmark (D/E high-leverage flag suppressed)
IRFC,2016,7.5423,5.3842,3.2438,15.593,Yes,Financials sector-relative benchmark (D/E high-leverage flag suppressed)
KOTAKBANK,2016,5.4121,5.3842,3.2438,15.593,Yes,Financials sector-relative benchmark (D/E high-leverage flag suppressed)
