company_id,company_name,sector,pe_ratio,pb_ratio,ev_ebitda,fcf_yield_pct,pe_5yr_median,pe_vs_sector_median_pct,valuation_flag
ABB,Abbott India Ltd,Industrials,75.58,4.48,12.63,0.051880041574855706,60.485,60.28,Caution
BAJAJFINSV,Bajaj Finserv Ltd,Financials,15.07,6.08,39.72,-4.180016339930263,47.335,-55.99,Discount
BAJFINANCE,Bajaj Finance Ltd,Financials,69.2,4.11,15.96,-3.2317922805711454,50.870000000000005,102.1,Caution
BANKBARODA,Bank of Baroda,Financials,16.89,4.15,24.7,-1.279081332956056,51.62,-50.67,Discount
BEL,Bharat Electronics Ltd,Industrials,17.89,9.22,23.14,-0.09337302073000636,56.305,-62.06,Discount
BHEL,"Bharat Heavy Electricals Limited
",Industrials,29.8,11.43,21.59,-0.4410671269170658,35.98,-36.8,Discount
BOSCHLTD,Bosch Ltd,Consumer Discretionary,58.43,6.47,16.07,0.05908701218425355,34.555,53.74,Caution
BPCL,Bharat Petroleum Corporation Ltd,Energy,68.15,0.72,26.59,5.422883218663305,30.585,51.73,Caution
CHOLAFIN,Cholamandalam Investment & Finance Company Ltd,Financials,16.79,10.36,13.52,-3.9650923712808046,28.409999999999997,-50.96,Discount
COALINDIA,Coal India Ltd,Materials,34.27,14.75,25.15,2.9991751112119767,33.22,-38.39,Discount
DMART,Avenue Supermarts Ltd,Consumer Discretionary,72.53,11.71,36.84,0.00910553222430331,45.655,90.84,Caution
DRREDDY,Dr Reddys Laboratories Ltd,Healthcare,11.73,10.19,14.56,0.020845250072724943,12.379999999999999,-75.07,Discount
EICHERMOT,Eicher Motors Ltd,Consumer Discretionary,15.62,13.61,19.29,0.4001945575069012,21.865000000000002,-58.9,Discount
GAIL,GAIL (India) Ltd,Energy,25.84,9.54,33.07,0.28461990353382827,28.259999999999998,-42.47,Discount
GODREJCP,Godrej Consumer Products Ltd,Consumer Staples,33.59,8.07,23.55,-0.10280184353453976,37.19,-34.07,Discount
GRASIM,Grasim Industries Ltd,Industrials,79.35,5.68,15.23,-7.063967310949983,47.49,68.27,Caution
HAL,Hindustan Aeronautics Ltd,Industrials,71.89,3.65,8.76,0.06861811283803056,53.635,52.45,Caution
HINDUNILVR,"Hindustan Unilever Ltd
",Consumer Staples,34.51,11.88,7.52,1.8482736240750641,21.805,-32.27,Discount
ICICIPRULI,ICICI Prudential Life Insurance Company Ltd,Financials,20.83,12.38,22.57,0.006574879059013327,44.31,-39.16,Discount
INDIGO,Interglobe Aviation Ltd,Consumer Discretionary,76.23,7.87,24.64,0.9056027172386589,53.7,100.58,Caution
INDUSINDBK,IndusInd Bank Ltd,Financials,8.99,3.7,28.79,-0.9664534641259643,56.0,-73.74,Discount
INFY,Infosys Ltd,Information Technology,35.99,8.97,36.7,1.808627454139422,34.31,-43.44,Discount
IOC,"Indian Oil Corporation
",Energy,28.61,4.24,33.71,2.794810104975634,49.11,-36.3,Discount
IRCTC,Indian Railway Catering & Tourism Corporation Ltd,Consumer Discretionary,60.44,5.74,32.47,0.05299874823631171,45.585,59.03,Caution
IRFC,Indian Railway Finance Corporation Ltd,Financials,9.81,3.91,16.66,0.3019460457018293,36.519999999999996,-71.35,Discount
JSWENERGY,JSW Energy Ltd,Energy,24.79,9.88,35.95,-1.7705336124937798,37.545,-44.81,Discount
LT,Larsen & Toubro Ltd,Industrials,30.8,2.48,16.63,1.8179837675257147,24.09,-34.68,Discount
M&M,"Mahindra & Mahindra Ltd
",Consumer Discretionary,14.22,0.81,29.08,-0.2694648852484086,43.58,-62.58,Discount
MARUTI,Maruti Suzuki India Ltd,Consumer Discretionary,20.78,8.26,29.97,0.3282212496887102,28.565,-45.32,Discount
MOTHERSON,Samvardhana Motherson International Ltd,Consumer Discretionary,9.54,2.38,33.39,0.6329063689949501,31.5,-74.9,Discount
NAUKRI,Info Edge (India) Ltd,Communication Services,32.88,8.33,11.87,-0.026604025891463663,34.885000000000005,-31.97,Discount
NHPC,"NHPC Ltd
",Energy,71.17,13.74,18.26,0.05573417784977254,59.83,58.45,Caution
NTPC,NTPC Ltd,Energy,30.8,5.24,37.12,0.9521678733206076,44.12,-31.43,Discount
ONGC,Oil & Natural Gas Corpn Ltd,Energy,18.15,10.36,11.72,10.781545408672736,44.31,-59.59,Discount
PIDILITIND,Pidilite Industries Ltd,Materials,36.12,12.3,5.36,0.588510137595519,37.114999999999995,-35.06,Discount
PNB,Punjab National Bank,Financials,19.29,10.91,23.64,-1.6126067787208855,20.58,-43.66,Discount
SBILIFE,SBI Life Insurance Company Ltd,Financials,69.98,9.48,31.04,-0.23688132542403253,54.025,104.38,Caution
SBIN,State Bank of India,Financials,54.93,2.72,21.53,0.7563625783740417,50.985,60.43,Caution
SHREECEM,Shree Cement Ltd,Materials,25.87,1.21,26.58,0.06115348347250073,33.97,-53.49,Discount
SHRIRAMFIN,"Shriram Finance Ltd
",Financials,68.53,7.91,28.82,-3.608906905151208,47.260000000000005,100.15,Caution
TATAMOTORS,Tata Motors Ltd,Consumer Discretionary,67.07,0.93,15.35,3.000651602734764,31.715000000000003,76.48,Caution
TATAPOWER,"Tata Power Company Ltd
",Energy,14.5,3.48,12.02,0.2166615750083587,23.509999999999998,-67.72,Discount
TITAN,"Titan Company Ltd
",Consumer Discretionary,10.13,10.51,21.0,0.0839572651499547,27.58,-73.35,Discount
TRENT,Trent Ltd,Consumer Discretionary,8.65,11.82,34.65,0.14720244295143942,67.02,-77.24,Discount
